sentence,entities,positive_negative
"Brann is a Republican. Though technically nominated by Obama, he was selected by Sen. Toomey because of his conservative bona fides: leader in the county GOP, member of the Federalist Society. https://t.co/M9X8ZdokC7",obama,1
"When Obama left office, the U.S., Britain, France, Germany, Russia and China were working together to counter Iranian policy.  Now, Iran is working with Britain, France, Germany, Russia and China counter U.S. policy.  Good work.",obama,1
Obama is right. Trump thinks doctors must be profiting off treating COVID because Trump CANNOT CONCEIVE of anyone doing anything simply because it's the right thing to do.,obama,1
"6/ Then McConnell began his campaign to pack the federal courts w anti-ACA ideologues who would rule against the ACA.  He blocked Obama's nominees for 2 years, creating 100+ vacancies for Trump, and most importantly, stole a SCOTUS nomination from Obama. https://t.co/U8GENmdlYx",obama,1
"Let’s be clear about the infamous “red line”.  Obama said he would take action if Assad used chemicals weapons. When Assad did, Obama requested Congress approve an attack - AS REQUIRED BY THE CONSTITUTION.   Congress wouldn’t give him approval. So he didn’t strike. https://t.co/dx8pXx8RhS",obama,1
"Joe Biden condemns violence, no matter who commits it.  Donald Trump refuses to condemn violence when his supporters are the assailants.  Under Obama and Biden, violent crime went down 15%.  This year, under Trump, murders are up 26% in American cities.  So now you know.",obama,1
"4/ But Trump couldn’t talk to Cuba (bc Obama), Putin had Trump wrapped around his finger, and all Trump wanted to talk to China about was the trade deal. So we made no meaningful effort to move them, and all three stood solidly behind Maduro.",obama,1
"RT @davelevitan: One expert who worked on the WH Ebola response told me this a couple years ago:   “They [Obama et al] were, in the first m…",obama,1
"RT @brhodes: Obama. Mexicans. Muslims. Iran. The media. The deep state. China. Trump has no answers, only a rotating cast of enemies. His n…",obama,1
"100,000 are soon going to be dead. And this is what the Senate is doing.   Not passing paid sick leave.   Not extending small business relief.   Not providing emergency aid for states.   Nope. Subpoenaing Obama officials. https://t.co/TPw7F7RmBF",obama,1
"A must read.   Back when nobody cared about Yemen, @RandPaul and I tried to stop arms sales in 2016 under Obama. Then we tried again in 2017 under Trump.  And we won't stop - because America bears responsibility for every civilian death in Yemen. https://t.co/V8aOOAAxJ9",obama,1
"RT @brhodes: The maddening thing is Obama left them a WH office for pandemics, a literal playbook, a cabinet-level exercise, and a global i…",obama,1
"RT @atrupar: .@Acosta: You say you had 'broken tests' from Obama -- the coronavirus is a new virus, so how could the tests be broken?  TRUM…",obama,1
"2/ In virtually every way, Iran is stronger today in the Middle East, and America is weaker, than 4 years ago.  First, when Trump took office, Iran wasn't shooting at U.S. forces in Iraq. Obama had convinced Iran to send their proxies to war WITH us, in the fight against ISIS.",obama,1
"Watching Obama today, I remembered being at the White House in fall 2014. The place was buzzing and my meeting was running late. A young staff assistant apologized and told me, 'It's been crazy here. It's Ebola 24/7.'  That focus, in the early days, prevented a U.S. outbreak.",obama,1
"The two epidemics are not the same, and our ability to respond to each was/is different. But Obama responded with much more urgency and seriousness than Trump. It’s not even a close call.",obama,1
"Fact:  We would be in an infinitely better position if Trump had responded to Coronavirus like Obama/Biden responded to H1N1.  Obama tested 1 million in the first month to properly scope and treat the epidemic.   Trump has tested 10,000 and now we’re flying blind. https://t.co/ALfjvtjvTo",obama,1
Under Obama:  1. Iran wasn't shooting at us in Iraq. 2. They didn't have enough uranium for a bomb. 3. IAEA was inspecting nuclear sites.  Under Trump:  1. Iran's shooting at us. 2. They have enough uranium for a bomb. 3. IAEA is being shut out.  Good job! https://t.co/cBeELOlmPQ,obama,1
"3/ Congress is a co-equal branch to the executive. We set foreign policy too. Many of us have met w Zarif over the years, under Obama and Trump. So though no one in Congress can negotiate with Zarif or carry official U.S. government messages, there is value in having a dialogue.",obama,1
"@brianschatz AND the Administration isn’t asking for any emergency funding. When less than 6 people caught Ebola in the U.S., Obama asked for (and got) $4 billion. That’s how we beat it.  Trump is pretending like we can fight off Coronavirus with $0 in new funding. It’s so dangerous.",obama,1
6/ Obama inherited the worst financial crisis since the great depression and pulled America out of it.   Trump was handed a healthy economy and has made things harder for working families while juicing corporate profits.   Don't let his lies try to tell you otherwise.,obama,1
"4/ Wages  Real wages aka what you can buy for the amount of money you take home, are actually doing worse under Trump.   They increased just 0.8% since Trump took office, compared with 1.3 percent over a similar period under Obama.",obama,1
"2/ Job Creation   Obama created 227K jobs a month in his last three years in office. In Trump's first three years, it's only been 191K per month.   Job creation numbers were 20% higher under Obama during that three-year span.",obama,1
This is a MUST READ this morning. Democrats need to go toe to toe with Trump on the economy and stop pretending like his lies are true.  Obama created more jobs.   Wages grew faster before Trump took office.   Manufacturing is doing worse under Trump. https://t.co/gzsUyb6PpC,obama,1
RT @GregAbbott_TX: Comments like this by Obama is exactly why Hispanics are increasingly voting Republican.  Some Democrats think they can…,obama,-1
"Did Obama appoint Justices, too?  Of course, it is in the Constitution: Art. II, sec 2, US Constitution:  [The president] shall have Power, ... by and with the Advice and Consent of the Senate ... appoint Judges of the supreme Court … https://t.co/sLJcsfMKiH",obama,-1
RT @JohnWHuber: Obama called for Americans to open their hearts and be compassionate in the wake of the 2010 Haiti earthquake. Then he welc…,obama,-1
Obama praised the snapback-sanction process. Now we’re told it can’t be used. https://t.co/kjgePIGyHC via @WSJ,obama,-1
"RT @joshscampbell: Obama says there is no excuse for Trump's unpresidential behavior, adding it emboldens other people 'to be cruel, and di…",obama,1
RT @ZekeJMiller: Obama: 'This administration has shown it will tear our democracy down if that’s what it takes to win.',obama,1
RT @politvidchannel: Obama on Harris as VP: 'Joe Biden nailed this decision',obama,1
"RT @ThePlumLineGS: On the same day Trump called for postponing the election to avoid facing voters, Obama delivered a rousing affirmation o…",obama,1
RT @TheAffinityMag: Happy Birthday Malia Obama! https://t.co/pQx1rYAVLW,obama,1
"RT @EBEC: D. Trump is a cold thief. God love Obama, and his crew of caring thinkers.",obama,1
RT @StevenBeschloss: He can try &amp; stop mail-in voting.  He can try &amp; kill USPS. He can organize Obama show trials.   He can lie about testi…,obama,1
"Ebola killed 2 Americans, and Obama formed the White House Pandemic response team that you dissolved...#COVID19 has killed 26k while you downplayed it, played golf, and now blame the #WHO when your inaction made this worse than it had to be #ThatDidntAgeWell https://t.co/ytlf49IvFd",obama,1
RT @GOPLeader: Former President Obama: —&gt; Blamed Bush for the Obama economy. —&gt; Takes credit for the Trump economy.  Here’s all I have to s…,obama,1
"RT @brhodes: The maddening thing is Obama left them a WH office for pandemics, a literal playbook, a cabinet-level exercise, and a global i…",obama,1
“Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek.” —Barack Obama #BlackHistoryMonth https://t.co/caVc1NdiZl,obama,1
'Yes we can.' —Barack Obama #BlackHistoryMonth https://t.co/cI3sFmbbTN,obama,1
RT @ChanelRion: Obama CIA Chief Brennan's declass'd notes show Hillary framed Trump with a toxic brew of fictional Russia ties.  Obama knew…,obama,-1
RT @JonathanTurley: The Flynn case remains a disturbing example of how everyone from the Obama to Biden to Comey to Judge Sullivan  engaged…,obama,-1
RT @seanhannity: UNMASKED: DNI Director Declassifies Names of Obama Officials Behind ‘Unmasking’ of Michael Flynn https://t.co/ckHRJcmXUY,obama,-1
RT @JonathanTurley: The long-delayed release of House testimony has proved embarrassing for various former Obama officials. One of the most…,obama,-1
RT @MZHemingway: Why Did Obama Tell The FBI To Hide Its Activities From Trump? https://t.co/ZVhYJP3uIJ,obama,-1
"RT @DiamondandSilk: Where was Biden's plan in 2009 when 10,000 Americans Died of the H1N1 virus while he was Vice President under the Obama…",obama,-1
"RT @RyanAFournier: The media is attacking Trump for his pardons...  I guess they forgot about Obama pardoning Chelsea Manning, who leaked t…",obama,-1
RT @GOPLeader: Former President Obama: —&gt; Blamed Bush for the Obama economy. —&gt; Takes credit for the Trump economy.  Here’s all I have to s…,obama,-1
"RT @omriceren: Not just embarrassing their proxies. Also embarrassing hundreds if not thousands of Obama officials, DC thinktankers, and ac…",obama,-1
@AlxndriaTH3Gr8 @Harvard I  speak the truth. So yes I was thinking about the most recent cases where the Democratic Party removed your father from the ballot. Not aware of. Old case(14 )where your dad  had false ads suggesting Obama had endorsed my opponent; yes I was involved in those cases.,obama,1
Trump refuses to acknowledge his Administration’s missteps and falsely blames Obama for the shortage of #COVID_19 tests. He has failed to provide leadership during this national emergency. All he does is lie and blame others. #TrumpLies #Coronavirus https://t.co/EN2plFIU4s,obama,1
"Trump #pardons go to rich and very well connected,not to those sentenced unjustly and determined through objective analysis as Obama used clemency.He used Alice Marie Johnson,who he commuted sentence to please Kim Kardasian.She is only  living #AfricanAmerican granted #clemency https://t.co/sB7BRqXnay",obama,1
"She would represent Jefferson county, the only “pivot” county in Texas (where both Obama and Trump won) &amp; has the chance to defeat an incumbent who has enabled the racism of Trump, who has denied climate science and who has worked for the NRA instead of the people he represents.",obama,1
A messy handoff of vaccination planning from Trump to Biden will cost lives. Here’s my piece for @NBCNews. https://t.co/nSzL6BMDE0,trump,-1
RT @maggieNYT: Um she was at the nearly 2-hour press conference w Giuliani and Trump mentioned her in a tweet. Hard to put the toothpaste b…,trump,-1
Trump is alleging Sen. Loeffler carried out a massive voter fraud operation in Georgia. That sounds like big news that should have an effect on the runoff. https://t.co/MTIbb7lltJ,trump,-1
"Donald Trump hauled the leaders of the Michigan state legislature into the Oval Office and demanded they overturn the vote and appoint Trump’s electors despite the fact that Trump lost the state by 150,000 votes and the Republican Party generally seems okay with that.",trump,-1
"This says nothing. What do you mean “if”? Have you not come to a conclusion on whether the massive vote rigging conspiracy Trump alleges exists? Because if you still believe it might be true, and your public statements suggest it could be true, then you’re doing his work for him. https://t.co/FnO2G1u1mR",trump,-1
"RT @Redistrict: Breaking: Biden's national popular vote lead just surpassed 6 million...  Biden 79,732,083 (51.0%) Trump 73,731,087 (47.2%)…",trump,-1
"6/ Implementing Trump's plan 'as is' would take 2 months of rigorous cooperation between the Trump and Biden teams.  But almost certainly, Biden is going to need time to make changes to assure Trump's vaccination plan works. Again, this can't happen absent a transition process.",trump,-1
3/ Trump and his team have screwed up every logistical element of COVID response so far. 80% of nurses say they don't have adequate PPE. Many have to wait in 3 hour lines for a test. Why would Trump's vaccine plan be magically different?  https://t.co/LbbHIP4sfT,trump,-1
RT @perrybaconjr: Trump is very savvy at constantly forcing fellow Republicans to choose between 1. doing his bidding and therefore remaini…,trump,-1
"Whenever folks in CT worried about the integrity of the 2020 election, I would tell them that somehow, someway, Trump had left in place, maybe by accident, actual non-partisan professionals in charge of election security. I was talking about Chris Krebs. https://t.co/pjZxL92jyZ",trump,-1
"From Iran to Yemen to Afghanistan, Trump and Pompeo are implementing a series of spiteful, last minute, lame duck policy changes intentionally designed to constrain the options available to a Biden presidency.  https://t.co/gjzBjTTIT7",trump,-1
"Trump could have spent the last 8 months working to build an international plan for vaccine development and distribution. Of course, he didn't. Now we head down the dangerous road of vaccine nationalism, with drug companies able to pit nation against nation.",trump,-1
"Many at the State Department tried to devise a policy that supported the Belarus opposition and weakened Lukashenko's police state. But Trump and Pompeo were both AWOL, frozen by their affection for strong men and bizarre desire to keep Putin happy. https://t.co/8DNoJzetTt",trump,-1
The level of unapologetic bald faced lying the Trump campaign is doing is just extraordinary. https://t.co/gNPHxuhguF,trump,-1
Our dangerous downward spiral of democratic destruction:  Trump keeps blowing up the transition and denying the result; Republicans support him (while secretly hoping he stops); Trump reads this support as a signal to dig the trench deeper.   Rinse. Wash. Repeat.,trump,-1
RT @jbsgreenberg: CNN dug into 50 names that the Trump folks are pointing to as evidence of dead people voting in Michigan.    The upshot:…,trump,-1
RT @marceelias: End of Day 7: Trump is down nearly 5 million votes and he and his allies are 0-12 in court.🥳,trump,-1
"It which Trump is firing everyone, ruining careers, and compromising our nation's security so that he can install stooges that will release sensitive, classified information about...wait for it....wait for it....  Hillary Clinton and the 2016 election.  https://t.co/qcxAa8mFts",trump,-1
Like I said yesterday. Trump is creating a dangerously unstable national security environment during this transition period. Adversaries are watching. https://t.co/zbxkalwAxB,trump,-1
"The Pfizer vaccine requires a complicated and expensive distribution process, so with lots of other vaccine candidates, $2B in taxpayer money to pay for the distribution is a big leg up. Again, not saying Trump should take credit, but the government $$ matter here. https://t.co/xXFtBWzk8r",trump,-1
"Trump shouldn't take the credit for the Pfizer/BioNTech progress, but it's not fair to suggest that this was simply a 'private sector' effort. They got purchase/distribution contracts from the U.S., EU, and Japan, and BioNTech got $445M in funding from the German government. https://t.co/FHudn7ETTW",trump,-1
